id,order_id,product_id,quantity
178,10328,68,20
179,10329,19,20
180,10329,30,9
181,10329,38,20
182,10329,56,22
183,10330,26,50
184,10330,72,25
185,10331,54,25
186,10332,18,40
187,10332,42,20
188,10332,47,26
189,10335,2,7
190,10335,31,25
191,10335,32,6
192,10335,51,49
193,10336,4,29
194,10337,23,40
195,10337,26,24
196,10337,36,20
197,10337,37,29
198,10337,72,25
199,10338,17,20
200,10338,30,25
201,10339,4,20
202,10339,17,70
203,10339,62,29
204,10340,18,20
205,10340,41,22
206,10340,43,40
207,10341,33,9
208,10341,59,9
209,10342,2,24
210,10342,31,56
211,10342,36,40
212,10342,55,40
213,10343,64,50
214,10343,68,4
215,10343,76,25
216,10345,8,70
217,10345,19,90
218,10345,42,9
219,10346,17,36
220,10346,56,20
221,10347,25,20
222,10347,39,50
223,10347,40,4
224,10347,75,6
225,10349,54,24
226,10350,50,25
227,10350,69,29
228,10351,38,20
229,10351,41,23
230,10351,44,77
231,10351,65,20
232,10352,24,20
233,10352,54,20
234,10353,11,22
235,10353,38,50
236,10354,1,22
237,10354,29,4
238,10355,24,25
239,10355,57,25
240,10357,10,30
241,10357,26,26
242,10357,60,9
243,10358,24,20
244,10358,34,20
245,10358,36,20
246,10359,16,56
247,10359,31,70
248,10359,60,90
249,10360,28,30
250,10360,29,35
251,10360,38,20
252,10360,49,35
253,10360,54,29
254,10361,39,54
255,10361,60,55
256,10362,25,50
257,10362,51,20
258,10362,54,24
259,10363,31,20
260,10363,75,22
261,10363,76,22
262,10364,69,30
263,10364,71,5
264,10365,11,24
265,10366,65,5
266,10366,77,5
267,10368,21,5
268,10368,28,23
269,10368,57,25
270,10368,64,35
271,10369,29,20
272,10369,56,29
273,10370,1,25
274,10370,64,30
275,10370,74,20
276,10371,36,6
277,10372,20,22
278,10372,38,40
279,10372,60,70
280,10372,72,42
281,10373,58,90
282,10373,71,50
283,10375,14,25
284,10375,54,20
285,10376,31,42
286,10377,28,20
287,10377,39,20
288,10378,71,6
289,10379,41,9
290,10379,63,26
291,10379,65,20
292,10380,30,29
293,10380,53,20
294,10380,60,6
295,10380,70,30
296,10381,74,24
297,10382,5,32
298,10382,18,9
299,10382,29,24
300,10382,33,60
301,10382,74,50
302,10383,13,20
303,10383,50,25
304,10383,56,20
305,10384,20,29
306,10384,60,25
307,10385,7,20
308,10385,60,20
309,10385,68,9
310,10386,24,25
311,10386,34,20
312,10387,24,25
313,10387,28,6
314,10387,59,22
315,10387,71,25
316,10388,45,25
317,10388,52,20
318,10388,53,40
319,10389,10,26
320,10389,55,25
321,10389,62,20
322,10389,70,30
323,10390,31,60
324,10390,35,40
325,10390,46,45
326,10390,72,24
327,10391,13,29
328,10392,69,50
329,10393,2,25
330,10393,14,42
331,10393,25,7
332,10393,26,70
333,10393,31,32
334,10394,13,20
335,10394,62,20
336,10395,46,29
337,10395,53,70
338,10395,69,9
339,10396,23,40
340,10396,71,60
341,10396,72,22
342,10397,21,20
343,10397,51,29
344,10398,35,30
345,10398,55,220
346,10400,29,22
347,10400,35,35
348,10400,49,30
349,10401,30,29
350,10401,56,70
351,10401,65,20
352,10401,71,60
353,10402,23,60
354,10402,63,65
355,10403,16,22
356,10403,48,70
357,10404,26,30
358,10404,42,40
359,10404,49,30
360,10405,3,50
361,10406,1,20
362,10406,21,30
363,10406,28,42
364,10406,36,5
365,10406,40,2
366,10407,11,30
367,10407,69,25
368,10407,71,25
369,10408,37,20
370,10408,54,6
371,10408,62,35
372,10409,14,22
373,10409,21,22
374,10410,33,49
375,10410,59,26
376,10411,41,25
377,10411,44,40
378,10411,59,9
379,10413,1,24
380,10413,62,40
381,10413,76,24
382,10414,19,29
383,10414,33,50
384,10415,17,2
385,10415,33,20
386,10417,38,50
387,10417,46,2
388,10417,68,36
389,10417,77,35
390,10418,2,60
391,10418,47,55
392,10418,61,26
393,10418,74,25
394,10419,60,60
395,10419,69,20
396,10421,19,4
397,10421,26,30
398,10421,53,25
399,10421,77,20
400,10422,26,2
401,10423,31,24
402,10423,59,20
403,10424,35,60
404,10424,38,49
405,10424,68,30
406,10425,55,20
407,10425,76,20
408,10426,56,5
409,10426,64,7
410,10427,14,35
411,10428,46,20
412,10429,50,40
413,10429,63,35
414,10430,17,45
415,10430,21,50
416,10430,56,30
417,10430,59,70
418,10431,17,50
419,10431,40,50
420,10431,47,30
421,10432,26,20
422,10432,54,40
423,10433,56,29
424,10434,11,6
425,10434,76,29
426,10435,2,20
427,10435,22,22
428,10435,72,20
429,10436,46,5
430,10436,56,40
431,10436,64,30
432,10436,75,24
433,10439,12,25
434,10439,16,26
435,10439,64,6
436,10439,74,30
437,10440,2,45
438,10440,16,49
439,10440,29,24
440,10440,61,90
441,10441,27,50
442,10442,11,30
443,10442,54,90
444,10442,66,60
445,10443,11,6
446,10443,28,22
